Date;ABI BB Equity;NOKIA FH Equity;DG FP Equity;BNP FP Equity;SAN FP Equity;FP FP Equity;GLE FP Equity;OR FP Equity;AI FP Equity;ORA FP Equity;SU FP Equity;VIV FP Equity;EI FP Equity;BN FP Equity;AIR FP Equity;CS FP Equity;ENGI FP Equity;SAF FP Equity;SGO FP Equity;CA FP Equity;MC FP Equity;UL NA Equity;UNA NA Equity;DAI GY Equity;MUV2 GY Equity;ALV GY Equity;FRE GY Equity;BAYN GY Equity;DTE GY Equity;BAS GY Equity;DPW GY Equity;EOAN GY Equity;VOW3 GY Equity;BMW GY Equity;DBK GY Equity;SAP GY Equity;SIE GY Equity;ISP IM Equity;ENEL IM Equity;UCG IM Equity;ENI IM Equity;G IM Equity;INGA NA Equity;ASML NA Equity;PHIA NA Equity;IBE SQ Equity;TEF SQ Equity;ITX SQ Equity;BBVA SQ Equity;SAN SQ Equity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/12/11;1040024;17781300;945998;4411766;2542932;4420363;3795161;444781;505147;4750040;1320268;2574313;269730;1010119;1024682;5003724;2916903;1244365;1528589;1846546;1188720;187847;2630004;3847453;610759;1645857;615618;2825689;10934092;2917400;2627119;7419264;678761;1347793;6216902;4144718;2384113;151963953;24708835;23031707;9892011;5442622;16951097;713752;2022045;136881802;21172415;6773020;23313946;43437809;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/12/11;862668;10260135;689390;2756014;1657238;3841537;2464437;312904;364526;3632942;505804;2013633;226952;728564;614732;2772530;1549593;347878;746059;1156848;483588;102533;1905251;2571446;334659;934517;477135;1223303;7626634;1431230;1540400;4041502;431090;810657;4043279;1369954;1194678;99712944;24432906;27720402;7634625;2736737;15858406;481318;1495999;14394339;14417384;2312465;9860153;23843867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/12/11;862668;10260135;689390;2756014;1657238;3841537;2464437;312904;364526;3632942;505804;2013633;226952;728564;614732;2772530;1549593;347878;746059;1156848;483588;102533;1905251;2571446;334659;934517;477135;1223303;7626634;1431230;1540400;4041502;431090;810657;4043279;1369954;1194678;99712944;24432906;27720402;7634625;2736737;15858406;481318;1495999;14394339;14417384;2312465;9860153;23843867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/12/11;688934;8098160;608625;1556063;1038253;2082367;2328148;189448;292425;2470004;416794;1380140;171995;591158;423522;2636274;1268346;184587;471408;699868;310199;90970;1687138;1484194;300019;908610;572379;846577;4384943;1032956;2040156;2563850;222374;570044;2490807;1195118;959673;73932287;11270336;20960814;4218156;2108175;9892123;462479;1380862;12805298;16458975;2586770;13030597;18584470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/12/11;939068;11514245;889321;2220355;1754201;3178680;3118871;362778;821804;4531300;917883;2421216;231334;826594;680795;3236754;1722179;412876;1047964;1448390;505089;150468;2663922;3676121;482562;1798649;1049295;1504689;7884654;2359992;2947873;5405900;576355;1280047;4423361;1732052;1919176;111896672;23488026;20551918;7521759;3287326;14394235;866536;1644473;18375075;18472179;3635645;19220274;32312204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/12/11;1107466;13030432;1002074;2528493;1620757;3873077;3427279;386045;568373;5241320;923775;2217041;157420;1237132;751412;7501009;2872412;425341;1282769;1922084;401132;243158;2825719;2717326;455268;1927215;756153;2085400;7927033;1861009;1726259;4929659;707304;990264;3263894;1393110;1739289;95020041;20319960;18899124;7245415;2610763;16900184;746175;2459895;16030807;12949965;4380865;66677091;24267940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/12/11;1072819;13830773;1286215;2262738;1942763;4173108;3355145;413873;582711;5017393;884600;2308987;131777;988586;685247;4224923;2831519;416488;852764;1546326;494908;200222;2376870;2374558;335988;1006497;515418;1257114;5379629;1515506;1768564;2982686;371775;749416;2669328;1240322;1196313;58817944;21424367;16024440;7913202;2637910;10980534;463556;2045608;19392120;10890765;2121380;13828493;22099883;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/01/12;1258355;12253350;1132227;2454403;1818443;4088772;3411036;522626;759441;6081290;1174241;3445486;202952;1051557;632206;4434951;2852483;344624;1008423;1671036;547887;216054;3068108;4444022;748160;2064602;1173687;2604935;13613800;3446259;3289584;7681206;767073;1620355;4696036;2832071;2733461;74459288;25256609;14589418;6698424;4915981;14161959;821367;1860617;19882076;40199948;6015585;78017595;41561316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/01/12;2087006;23862520;1679578;3984078;3560171;5327004;5208781;661796;899372;9831690;2105798;4408600;343765;1440939;1417588;6906155;3499863;787194;1624125;2233842;1047818;258546;4391337;6379106;948991;2141758;1223829;3037426;14265662;4003763;4861598;7726968;1192211;2679672;6062714;2925246;3158984;132349462;39324154;31116476;15041293;5490895;18178292;1226815;3174028;40577721;22367417;6914235;295462503;118662106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/01/12;2155930;18391329;1746766;3632129;2718500;4408761;4037220;510815;703234;5995223;2017921;3520816;566376;1779269;1580817;5536626;2388840;1143413;1467767;2582288;800892;254982;3903044;4012133;745953;2148357;1185696;2378926;10932849;2712957;3932078;5942868;867658;2132005;6344037;3111903;2656549;151796476;30939540;66259251;13334295;3839773;17807678;2301205;3024212;35304848;18407072;6760070;167043201;111252082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
